index,title,director,cast,genres,Release Month,Release Date,Highest Grosser By Year(in crores)
0,Balika Badhu aka. Baby Bride,P. T. Shaida (Tulsidutt Shaida),"shaida,pandit,ali,miss,tarak,bagcha,tulsidutt",social,,,
1,Daksha Yagna aka. Sati Parvati,Vishnupant Divekar,"prabha,khalil,vaidya",mythology,,,
2,Jalandhar Vrinda aka. Sati Tulsi Vrinda,G. V. Sane,unknown,mythology,,,
3,Kansa Vadha aka. End Of The Tyrant King,G. V. Sane,unknown,mythology,,,
4,Katorabhar Khoon aka.The Stinger Stung aka. Zaheri Saanp,S. N. Patankar,"koregaonkar,gokhale,vyas,trymbakrao,pradhan,tara,k,baba,g",social,,,
5,Krishna Sudama aka. Shri Krishna Sudama,Vishnupant Divekar,"sakina,ali,moti,prabha,khalil,kesarbai,miya,vaidya",mythology,,,
6,Lava Kusha,R. Nataraja Mudaliar,unknown,mythology,,,
7,Mahabharata,Rustomji Dhotiwala,unknown,unknown,,,
8,Mrichhakatik,Suchet Singh,"kanjibhai,rathod",unknown,,,
9,Narasinha Avtar,Shree Nath Patankar,unknown,mythology,,,
10,Narsinh Mehta,"Suchet Singh, Shukle","kanjibhai,rathod",devotional,,,
11,Ram Janma,G. V. Sane,unknown,mythology,,,
12,Rama Or Maya,"Suchet Singh, Shukle","dorothy,goharjaan,rathod,samson,kanjbhai,kingdon",mythology,,,
13,Sairandhri,Baburao Painter,"ganpatrao,balasabeb,dhaiber,yadav,baburao,pawar,keshavrao,ansuyabai,bhaskar,bakre,ravi,gulabbai,pendharkar,kamaladevi,zunzharrao",mythology,,,
14,Shakuntala,Suchet Singh,"dorothy,sutria,mr,goharjaan,samson,kingdon",mythology,,,
15,Shakuntala,Shree Nath Patankar,unknown,"mythology,drama",,,
16,Shri Krishna Leela,G. V. Sane,unknown,mythology,,,
17,Shri Rama Janma,G. V. Sane,unknown,mythology,,,
18,Sita Swayamwar aka. Sita's Marriage,Shree Nath Patankar,limaye,mythology,,,
19,The Enchanted Pills aka. Vichitra Gutika,S. N. Patankar,"damuanna,dighe,marathe,joshi,gokhale,trymbakrao,pradhan,k,sitarampant,g",social,,,
20,Vikram Urvashi,Kanjibhai Rathod,"n,lina,r,vaidya,valentine",mythology,,,
21,Behula,C. Legrand,"cooper,patience",mythology,,,
22,Belgian Emperor's Visit To India,Nitin Bose,unknown,documentary,,,
23,Bhakta Vidur,Kanjibhai Rathod,"master,sakina,sampat,maneklal,homi,gangaram,prabhashankar,patel,dwarkadas",devotional,,,
24,Bilet Pherat aka. England Returned,Dhirendranath Ganguly,"dhirendranath,chakraborty,sushilabala,kunjalal,ganguly,manmatha,pal","social,comedy",,,
25,Chandrahasa,Kanjibhai Rathod,"moti,savita,khalil,tara,dhanji",devotional,,,
26,Dabbur Kelenkari,Debi Ghosh,"datta,chani",unknown,,,
27,Dhruva Charitra aka. The Story Of Dhruva,Jyotish Bannerjee,"james,manilal,cooper,signor,aga,mannelli,kusumkumari,p,mcgrath,master,madan,patience,dadabhai,kashmiri,pestonji,sarkari,mohan,hashr,signorina,m,f",mythology,,,
28,King Gopichand aka. Gopichand,Vishnupant Divekar,"mama,koregaonkar,hira,bhatt",legend,,,
29,Govardhan Dhari,G. V. Sane,unknown,mythology,,,
30,Jagat Janani Jagadamba aka. Ma Durga aka. Mother Durga,Jyotish Bannerjee,unknown,mythology,,,
31,Krishna Kumar aka. Pradyumna,Vishnupant Divekar,unknown,mythology,,,
32,Krishna Maya,Kanjibhai Rathod,jamna,mythology,,,
33,Mahasati Ansuya aka. Sati Ansuya aka. Birth Of Shri Dattatreya,Kanjibhai Rathod,"vaidya,khalil,sakina",devotional,,,
34,Meerabai aka. Mira Bai,Sisir Kumar Bhaduri,"patience,k,cooper,s,bhaduri",devotional,,,
35,Mohini,Sisir Kumar Bhaduri,"patience,k,cooper,s,bhaduri",devotional,,,
36,Nal Damayanti,E. D. Liguoro,"adajania,d,chhapgar,patience,k,albertina,liguoro,cooper,e,sarkari",mythology,,,
37,Pundalik,Ganpat Shinde,unknown,devotional,,,
38,Pundalik,Kanjibhai Rathod,unknown,devotional,,,
39,Ratnakar,S. N. Ray,"dev,sushila,shosha,debi,mukhi,chunilal",mythology,,,
40,Rukmini Haran,Kanjibhai Rathod,"n,sakina,gangaram,moti,khalil,tara,r,vaidya",mythology,,,
41,Rukmini Satyabhama aka. Rukmini Kalyanam aka. Rukmani Sathyabhama aka. The Wedding Of Rukmani ,R. Nataraja Mudaliar,unknown,mythology,,,
42,Sant Tukaram aka. Tukaram,Ganpat Shinde,unknown,devotional,,,
43,Sati Madalsa,S. N. Patankar,unknown,mythology,,,
44,Sati Sulochana,G. V. Sane,unknown,mythology,,,
45,Salaam Aleikum,Unknown,unknown,social,,,
46,Shani Prabhav,G. V. Sane,unknown,mythology,,,
47,Shivratri,C. Legrand,"prabodh,kumari,kusum,bose",mythology,,,
48,Subhadra Haran,Kanjibhai Rathod,unknown,mythology,,,
49,Surekha Haran aka. The Elopement Of Surekha aka. Surekha Abhimanyu,Baburao Painter,"vishnupant,gajrabai,yadav,ganpat,baburao,pagnis,pawar,ravji,g,r,shantaram,bakre,mane,v,pendharkar,balasaheb,mhaskar,zunzharrao",mythology,,,
50,Themuras and Tehmuljee aka. Aflatoon,Unknown,unknown,social,,,
51,Tridandi Sanyas,Vishnupant Divekar,"soni,anand,shinde,limaye",mythology,,,
52,Urvashi,Vishnupant Divekar,"koregaonkar,limaye,vithabai,hira",mythology,,,
53,Valli Thirumanam aka. Valli's Wedding,Whittaker,unknown,mythology,,,
54,Valmiki,G. V. Sane,unknown,mythology,,,
55,Vikram Satva Pariksha,G. V. Sane,unknown,mythology,,,
56,Vishwamitra Menaka,Kanjibhai Rathod,"ali,raja,jamna,kesar,miyan,babu",mythology,,,
57,Vishnu Avatar aka. The Incarnations Of Lord Vishnu,"Jyotish Bannerjee, C. Legrand","cooper,patience",mythology,,,
58,Yashoda Nandan aka. Yashoda's Son aka. Shri Radha Krishna,"Dhirendranath Ganguly, Nitish Lahiri","dhirendranath,chakraborty,pramodasundari,dasi,sushiladevi,lahiri,nitish,amodini,kunjalal,ganguly,manmatha,pal",mythology,,,
59,Ahiravan Mahiravan Vadha,G. V. Sane,"bhaurao,datar,shanta,pawar,nalgunde,sane,singh,bachu,ghanshyam",mythology,,,
60,Ajamil,Kanjibhai Rathod,"master,homi,gangaram,jamna,khalil",devotional,,,
61,Andhare Alo aka. The Influence Of Love,"Naresh Mitra, Sisir Kumar Bhaduri","sisir,lila,choudhury,naresh,jogesh,kumar,mitra,kankabati,debi,rani,bhaduri,durga","social,drama",,,
62,Ashoka aka. Samrat Ashoka,Unknown,unknown,historical,,,
63,Bhakta Ambarish,Kanjibhai Rathod,"n,khalil,tara,r,vaidya",devotional,,,
64,Bhakta Shiromani aka. Rajrishi Ambarish aka. Bhakta Shiromani,Dadasaheb Phalke,unknown,devotional,,,
65,Bhartrahari aka. King Bhartrahari,S. N. Patankar,"tara,koregaonkar,thatte",legend,,,
66,Bhishma,Jyotish Bannerjee,"adjania,mohan,master,keki",mythology,,,
67,Bhishma Bana Shayya,Unknown,"madanrai,vakil",mythology,,,
68,Bhishma Pratigna,R. S. Prakash,unknown,mythology,,,
69,Bidyasundar aka. The Lover's Trance,Sundar Narayan Ray,durgarani,legend,,,
70,Bimata aka. Bijoy Basant aka. Stepmother,Dhirendranath Ganguly,"dhirendranath,miss,billy,devi,ganguly,joy,seeta",social,,,
71,Bisha Briksha aka. Bishabriksha aka. Poison Tree,Jyotish Bannerjee,"gopalchandra,lila,durgadas,bhattacharya,bannerjee,miss,basantakumari,manoranjan,debi,kartik,dey,light","social,drama",,,
72,Bodana aka. Bhakta Bodhana aka. Shri Ranchhodrai,S. N. Patankar,"sandow,raja","devotional,legend",,,
73,Damaji aka. Bhakta Damaji aka. Bhagwata Bhakta Damaji,Baburao Painter,"n,ganpat,d,baburao,pawar,haskar,ravji,sushilabai,bakre,gulabbai,sarpotdar,pendharkar,m,zunzharrao",devotional,,,
74,Devi Todi,Kanjibhai Rathod,jamna,devotional,,,
75,Doom Of The Yadavas aka. Yadav Vinas,Unknown,unknown,mythology,,,
76,Draupadi Swayamwar,Vishnupant Divekar,kamala,mythology,,,
77,Draupadi Veni Bandhan aka. The Fall Of The Kauravas aka. Veni Bandhan,Vishnupant Divekar,"n,soni,damle,s,patankar",mythology,,,
78,Gangavataran aka. Bhagirathi Ganga,Unknown,"dadibhai,cooper,sarkari,patience",mythology,,,
79,Hara Gouri aka. Lord Shiva And Parvati,Dhirendranath Ganguly,unknown,religious,,,
80,Hari Talika,G. V. Sane,"bhaurao,datar",mythology,,,
81,Indrajit aka. Indrajit O Lady Teacher,Dhirendranath Ganguly,"ganguly,dhirendranath,devi,seeta",social,,,
82,Jadunath,S. N. Patankar,"koregaonkar,gokhale,trimbakrao,vyas,pradhan,tara,k,baba,kelkar,g",legend,,,
83,Kalidas,S. N. Patankar,"vyas,tara,koregaonkar,baba","devotional,biopic",,,
84,Karna aka. Deserted Son Of Kunti,S. N. Patankar,"sandow,raja",mythology,,,
85,Lady Teacher,Dhirendranath Ganguly,unknown,comedy,,,
86,Laila Majnu,J. J. Madan,"h,patience,waring,miss,sherwin,jeanetta,cooper,w,dot,foy","legend,romantic",,,
87,Mahashweta Kadambari aka. Shap Sambhram,S. N. Patankar,"n,koregaonkar,vyas,tara,thatte,baba,s,patankar",mythology,,,
88,Malati Madhav,Kanjibhai Rathod,"n,gangaram,moti,miss,khalil,tara,r,vaidya",mythology,,,
89,Pandavas In Exile aka. Pandav Vanavas,G. V. Sane,"bhaurao,datar,pawar,jadhav,sakharam,bachu",mythology,,,
90,Parikshit,Unknown,"vithaldas,panchotia",mythology,,,
91,Parsuram,Unknown,unknown,mythology,,,
92,Pati Bhakti aka. Pavitra Leelavati aka. Husband Worship,J. J. Madan,"sayed,mohan,master,patience,manilal,manelli,cooper,signorina,f,hussain","social,drama",,,
93,Pitroddhar aka. Ganga The Redeemer,Manilal Joshi,unknown,mythology,,,
94,Princess Budur aka. Rajkumari Budur aka. Tale Of Kamar-Al-Zaman,J. J. Madan,"dorothy,edna,patience,dadibhai,chapgar,liguoro,cooper,bayley,dalies,eugenio,de,sarkari","costume,fantasy",,,
95,Radha Vilas,Vishnupant Divekar,"soni,y,datar,v",mythology,,,
96,Raja Bhoj,Unknown,"albertina,cooper,patience",legend,,,
97,Raja Parikshit aka. Janmejaya's Serpent Sacrifice,Manilal Joshi,"miss,yakbal",mythology,,,
98,Ramayana,Jyotish Bannerjee,"master,mannelli,patience,da,cooper,signorina,bhagaban,f","religious,epic",,,
99,Ratnavali aka. The Lady From Lanka,Manilal Joshi,"miss,yakbal,elizer","mythology,legend",,,
100,Ratnavali aka. Ratnabali aka. Sea Nymph Of Ceylon,"Jyotish Bannerjee, C. Legrand","gohar,c,pandit,patience,miss,albertina,cooper,saida,legrand,tulsidutt","mythology,legend",,,
101,Sadhu Aur Shaitan,"Nitish Lahiri, Dhirendranath Ganguly","dhirendranath,sushilabala,lina,ganguly,manmatha,valentine,pal",comedy,,,
102,Sant Namdev aka. Saint Namdeo,Dadasaheb Phalke,unknown,devotional,,,
103,Sant Sakhubai,G. V. Sane,"nirantar,visubhau,shanta,nalgunde",devotional,,,
104,Sati aka. Kalighat aka. Daksha Yagna aka. Origin Of Mahakali Temple,Unknown,"cooper,patience",mythology,,,
105,Sati Anjani aka. Birth Of Hanuman,S. N. Patankar,"tara,koregaonkar,shah,c","devotional,biopic",,,
106,Sati Toral,Kanjibhai Rathod,"sakina,moti,miss,khalil,gani,babu",devotional,,,
107,Satya Narayan,V. S. Nirantar,"salunke,shinde,anna",unknown,,,
108,Sharmista Devyani,Unknown,unknown,"drama,puranic",,,
109,Shishupal Vadh aka. The Killing Of Shishupal,G. V. Sane,"bhaurao,sonabai,datar,pawar,sane,bachu",mythology,,,
110,Shri Ganesh Janma aka. Ganesh Avatar,G. V. Sane,"bhaurao,datar,madhav,malasure",unknown,,,
111,Shri Markandeya Avtar aka. Shiv Mahima aka. Devotion's Reward,S. N. Patankar,"shah,c,vyas,damle,baba",devotional,,,
112,Shri Satya Narayan,Kanjibhai Rathod,"n,babu,sakina,raja,moti,miss,khalil,r,tara,gani,vaidya",devotional,,,
113,Sukanya Savitri,Kanjibhai Rathod,"sakina,miss,jamna,moti",devotional,,,
114,Suryakumari,Narayan Deware,"raja,moti,miss,khalil,tara,sandow",costume,,,
115,Tara The Dancer aka. Nartaki Tara,J. J. Madan,"prabhodh,patience,miss,chandra,cooper,bose",social,,,
116,Veer Abhimanyu,Manilal Joshi,"vakil,fatma,begum,sultana,madanrai",mythology,,,
117,Virat Parva,Vishnupant Divekar,"soni,y,datar,v",mythology,,,
118,Babruwahan,Dadasaheb Phalke,"bhaurao,datar,jadhav,sakharam,pendse,dada",mythology,,,
119,Bhakta Gora Kumbhar aka. Gora Kumbhar The Devout,Unknown,devotional,unknown,,,
120,Bhakta Sudhanva,Unknown,unknown,devotional,,,
121,Buddha Dev aka. Lord Buddha,Dadasaheb Phalke,"bhaurao,datar,charubai,salunke,pendse,dada,anna","religious,biopic",,,
122,Champraj Hada,Unknown,unknown,devotional,,,
123,Chintamoni,Dhirendranath Ganguly,unknown,devotional,,,
124,Durvas Shaap aka. Curse Of Durvas,S. N. Patankar,"tara,koregaonkar,thatte",mythology,,,
125,Gayatri Mahatmya aka. Venukumar,Unknown,unknown,mythology,,,
126,Guru Dronacharya aka. Drona The Teacher,Dadasaheb Phalke,"bhaurao,datar,charubai,pendse,dada",mythology,,,
127,Guru Machindranath aka. Streeyaraj aka. The Kingdom Of Women,S. N. Patankar,"trymbakrao,pradhan",mythology,,,
128,Goswami Tulsidas,Kanjibhai Rathod,unknown,"devotional,biopic",,,
129,Janak Videhi aka. King Janak,S. N. Patankar,unknown,mythology,,,
130,Jara Sandha Vadha,Dadasaheb Phalke,"bhaurao,datar,pawar,singh,bachu,ghanshyam",mythology,,,
131,Kamale Kamini aka. Kamale Kamani aka. Maid Of The Lotus,Sisir Kumar Bhaduri,"sisir,akshoy,chakraborty,master,rabindramohan,prabodh,ray,patience,kumar,kusumkumari,bannerjee,nripen,basantakumari,cooper,tulsi,liguoro,bhaduri,e,bose",mythology,,,
132,Khokha Babu aka. Khokababu,Chittranjan R. Goswami,"chittaranjan,goswami,mitra,nagendrabala,naresh","social,drama",,,
133,Kirat Arjuna,Manilal Joshi,unknown,"mythology,epic",,,
134,Krishna Arjuna Yuddha,Unknown,unknown,mythology,,,
135,Krishna Toola,Unknown,unknown,mythology,,,
136,Life Of Lord Buddha,Unknown,unknown,"religious,biopic",,,
137,Maan Bhanjan aka. Honour Retained aka. All For Love,Naresh Mitra,"chakraborty,lila,durgadas,mitra,bannerjee,neelam,mukherjee,sona,debi,naresh,tulsi,rani,indu,tinkari","social,drama",,,
138,Mahananda aka. Sati Mahananda,Dadasaheb Phalke,unknown,devotional,,,
139,Matri Sneha aka. A Mother's Love,Jyotish Bannerjee,"niroda,chakraborty,akshoy,edwin,sundari,choudhury,sushila,amar,mayer,patience,bannerjee,miss,kumud,cooper,tulsi,debi,prabhadevi,jr,kalidas","social,drama",,,
140,Matsya Varah Avtar,Unknown,unknown,mythology,,,
141,Maya Bazar,Baburao Painter,"shantaram,v",mythology,,,
142,Minal Devi aka. The Sin Redeemed,Kanjibhai Rathod,"miss,khalil,tara,moti",social,,,
143,Noorjehan aka. Light Of The World aka. Nurjehan,J. J. Madan,"ezra,manchersha,creed,patience,dadibhai,chapgar,albertini,cooper,charles,mir,sarkari","historical,biopic",,,
144,Raja Gopichand,Unknown,unknown,legend,,,
145,Raja Mayurdhwaja,Unknown,"asooji,madanrai,vakil",mythology,,,
146,Samudra Madanam,R. S. Prakash,unknown,mythology,,,
147,Sati Narmada,"Kanjibhai Rathod, Narayan Deware",unknown,unknown,,,
148,Sati Veermata aka. Pious Veermata,S. N. Patankar,unknown,historical,,,
149,Savitri aka. Savitri E Satyvan Savitri Satyvan,"Giorgio Mannini, J. J. Madan","ferrari,gianna,castellani,gonzales,bruto,terribili,lydianne,liguoro,de,angelo,rina",mythology,,,
150,Shishupal Vadha aka. The Killing Of Shishupal,G. V. Sane,"bhaurao,sonabai,datar,sane,pawar,bachu",mythology,,,
151,Shri Balkrishna aka. The Child Krishna,"Kanjibhai Rathod, Narayan Devare",unknown,religious,,,
152,Shri Krishna Avatar,Baburao Painter,"shantaram,v",religious,,,
153,Shri Krishna Bhakta Peepaji,S. N. Patankar,unknown,devotional,,,
154,Shri Krishna Satyabhama aka. Krishna Satyabhama aka. Samantak Mani,S. N. Patankar,"tarabai,koregaonkar,thatte",mythology,,,
155,Shuk Rambha aka. Shukh Deo,Kanjibhai Rathod,"khalil,tara",fantasy,,,
156,Silent Curse aka. Sati Ka Shaap,Manilal Joshi,unknown,legend,,,
157,Sinhagad,Baburao Painter,"bhave,balasaab,yadav,d,baburao,painter,pawar,g,p,zhunzharrao,shantaram,k,r,v,sarpotdar,mane,kamaladevi,nalini","historical,drama",,,
158,Soul Of A Slave,Hemchandra Mukherjee,"prafulla,sudhir,jyotish,adele,ahindra,chowdhury,nag,ghosh,jugal,richards,mitra,mukherjee,jane,hemchandra,bose,willinsonworth,gokul","costume,drama",,,
159,The Catechist Of Kil Arni,"R. S. Prakash, Thomas Gavin Duffy","duffy,gavin,thomas",religion,,,
160,Vaman Avatar aka. Raja Bali,S. N. Patankar,unknown,mythology,,,
161,Vanraj Chavdo aka. Vanraj Chavda,Unknown,unknown,"legend,historical",,,
162,Veer Bhimsen,Kanjibhai Rathod,"sakina,raja,moti,miss,savita,tara,sandow",mythology,,,
163,Vratrasoor Vadha,Unknown,unknown,mythology,,,
164,Yayati,Dhirendranath Ganguly,unknown,devotional,,,
165,Ashwathama,Dadasaheb Phalke,"bhaurao,datar,madhav,malusare,pendse,dada,gotiram",mythology,,,
166,Atma Bal aka. Sundar Kamdar,Unknown,"asooji,elizer",unknown,,,
167,Bal Shringee or Bal Shringi,Unknown,unknown,mythology,,,
168,Bali Yagna,V. K. Pattani,"vaidya,nanubhai,batukbhai",mythology,,,
169,Bali Yagna aka. Self-surrender At The Feet of the Master,Kanjibhai Rathod,unknown,mythology,,,
170,Bismi Sadi aka. Twentieth Century,Homi Master,"charlie,noor,raja,moti,miss,mohammed,sandow",social,,,
171,Bhakta Sudhanva,Unknown,unknown,devotional,,,
172,Chandan Malayagiri,Naval Gandhi,unknown,unknown,,,
173,Chandragupta And Mahatma Chanakya aka. Chandragupta Chanakya,Unknown,"asooji,jilloobai",historical,,,
174,Chandranath,Naresh Mitra,"chowdhury,durgadas,jogesh,mitra,bannerjee,nirmalbala,naresh",social,,,
175,Datta Janma aka. Sati Ansuya,G. V. Sane,"bhaurao,datar,ashraben,motiram,bachu",devotional,,,
176,Dhruva Charitra aka. The Story Of Dhruva,Jyotish Bannerjee,"mohan,mcgrath,master,mannelli,f,james,patience,kashmiri,p,monilal,agha,cooper,signor,signorina,m,dadabhai,hashar,sarkari",mythology,,,
177,Draupadi Bhagya aka. Draupadi's Fate,Raghupathy S. Prakasa,unknown,mythology,,,
178,Gajendra Moksham aka. Gajendra's Nirvana,Raghupathy S. Prakasa,unknown,mythology,,,
179,Gomata aka. Sacred Cow,Unknown,unknown,devotional,,,
180,Gul-E-Bakavali,Kanjibhai Rathod,"charlie,fatma,noor,zubeida,begum,mohammed,khalil,miss,moti,jamuna,sr,sultana,abdul,ghani",legend,,,
181,Ishq No Umedwar,Unknown,unknown,unknown,,,
182,Jayadratha Vadha,G. V. Sane,"bhaurao,datar,pawar,bachu",mythology,,,
183,Kala Naag aka. Triumph Of Justice aka. Kalyug Ki Sati,Homi Master,"fatma,zubeida,begum,miss,khalil,tara,moti,ibrahim,savita,sultana","life,crime,true,thriller",,,
184,Kalyan Khajina aka. The Treasures of Khajina,Baburao Painter,"bhave,master,bhosle,baburao,zunzharrao,pawar,painter,vithal,p,k,sultana,kamaladevi,chimasaheb,nalini","crime,thriller",,,
185,Karan Ghelo aka. Karan Waghela,S. N. Patankar,unknown,historical,,,
186,Kismet Ka Shikar aka. Victims Of Fate,Unknown,unknown,social,,,
187,Krishna Kumari aka. Daughter Of Shripur,Gajanan S. Devare,unknown,costume,,,
188,Manorama aka. Hridaya Triputi,Homi Master,"khalil,zubeida,sultana",social,,,
189,Mishar Rani aka. Queen Of Mishar,Jyotish Bannerjee,"niharbala,naserwanji,choudhury,ahindra,durgadas,bannerjee,krishnabhamini",costume,,,
190,Municipal Election aka. Municipal Nivadnuk,Dadasaheb Phalke,"baburao,datar,pawar,jadhav,shinde,sakharam,bachu",social,,,
191,Nanda Batrisi aka. Nand Batrishi,Unknown,"berry,asooji,dolores",devotional,,,
192,Nandanar aka. Bhakta Nandan,Raghupathy S. Prakasa,unknown,devotional,,,
193,Narsinh Mehta,Gajanan S. Devare,unknown,"devotional,biopic",,,
194,Navin Bharat aka. New India aka. Naveen Bharat,Kashinath Chatterjee,unknown,social,,,
195,Navi Sethani aka. Kanya Vikrya Ni Kahani,Homi Master,unknown,social,,,
196,Paper Parinam aka. Crime And Punishment,Unknown,"nirmalendu,prabhavati,probodh,lahiri,chandra,prabhadevi,bose",social,,,
197,Patni Pratap aka. Wife's Achievement,J. J. Madan,"cooper,patience",social,,,
198,Poona Raided aka. Poona Par Hallo,B. V. (Mama) Warerkar,"bhawani,vishnupant,ketkar,sansare,sundar,pandharinath,varane,datta,baburao,pagnis,dulari,shankarrao,rao,krishnarao,miss,kaiser,shinde,nadkarni,kale",historical,,,
199,Prithvi Vallabh aka. The Lord Of Love And Power,Manilal Joshi,"wagle,fatma,zubeida,begum,miss,p,y,jaina,sultana,pendharkar,bhalji,altekar,sandow",historical,,,
200,Prithviraj Chouhan aka. Prithviraj Chauhan,Unknown,unknown,historical,,,
201,Ra Mandlik,Homi Master,"yakbal,rajababu,raja,miss,ganibabu,sandow",historical,,,
202,Raja Harishchandra,"D.D. Dabke, Narayan Deware",unknown,mythology,,,
203,Ranakdevi,S. N. Patankar,"tarabai,koregaonkar,shah,c",historical,,,
204,Razia Begum,"Nanubhai Desai, Bhagwati Mishra","jilloobai,sandow,raja",historical,,,
205,Repentance aka. Paap No Pashchatap,Naval Gandhi,"berry,tara,dolores",social,,,
206,Sadevant Savlinga,Unknown,unknown,costume,,,
207,Sadguni Sushila aka. Sushila The Virtuous aka. Triumph Of Truth,Kanjibhai Rathod,"sandow,raja","life,true,drama,thriller",,,
208,Samudra Manthan aka. The Churning Of The Ocean aka. Ahankar Vijaya,V.K. Pattani,"vaidya,nanubai,batukbhai",mythology,,,
209,Sanyasi,Naval Gandhi,unknown,social,,,
210,Sati Padmini aka. Beauty of Rajasthan aka. Siege of Chittor,Baburao Painter,"bedi,ganpat,yadav,zunzharrao,pawar,bakre,dwarka,balasaheb,nalini","historical,drama",,,
211,Sati Sardarba,Nanubhai Desai,"mohanlala,putli,fatma,zubeida,begum,sultana",devotional,,,
212,Sati Seeta,Kanjibhai Rathod,unknown,religious,,,
213,Sati Sone aka. Halaman Jethvo,Homi Master,"rajababu,raja,janibabu,miss,moti,jamuna,sr,sandow",devotional,,,
214,Shah Jehan aka. Shahjehan,"Ardeshir M. Irani, Naval Gandhi","mishra,jilloobai,bhagwati,elizer",historical,,,
215,Shaitan Pujari,Unknown,unknown,social,,,
216,Sharda,Dadasaheb Phalke,unknown,social,,,
217,Shivaji's Escape From Agra aka. Shivajichi Agryahun Sutaka,Dadasaheb Phalke,"laxman,bhaurao,datar,jardos,malusare",historical,,,
218,Sita Shuddhi aka. Ram Ravan Yuddha aka. The Purification Of Sita,"G. V. Sane, Dadasaheb Phalke","vasant,chavan,shinde",religious,,,
219,Shri Dnyaneshwar,S. N. Patankar,unknown,devotional,,,
220,Sita Vanvas aka. Uttar Ramcharitra,V. S. Nirantar,unknown,religious,,,
221,Sharif Badmash aka. Society Scoundrel,Kanjibhai Rathod,"dorothy,ermeline,vakil,ali,hakim,shiraz,madanrai",social,,,
222,Sund And Upsund,G. V. Sane,unknown,mythology,,,
223,The Debt Of Sin aka. Paap No Fej,"Ardeshir Irani, Naval Gandhi","asooji,tara,bhagwati,mishra,elizer","life,crime,true,thriller",,,
224,Turki Hoor,J. J. Madan,"sharifa,mohan,master,surajram,narmada,patience,manilal,cooper,shankar",costume,,,
225,Usha Swapna aka. Usha's Dream,Raghupathy S. Prakasa,unknown,mythology,,,
226,Vasant Prabha,Unknown,"probodh,kusumkumari,m,prabhadevi,hussain,bose",social,,,
227,Veer Ahir,Homi Master,"jamna,k,athavale,b",legend,,,
228,Veer Bharat,Jyotish Bannerjee,unknown,costume,,,
229,Veer Durgadas aka. Brave Durgadas,Bhagwati Mishra,"mishra,asooji,jilloo,bhagwati",historical,,,
230,Vijaya aka. Victory aka. Vijay,Bhagwati Mishra,unknown,unknown,,,
231,Vikram Charitra aka. Buddhibal,"Nanubhai Desai, Dorabsha Kohla","tara,gopalji,asubhai",legend,,,
232,Wages of Sin,Unknown,unknown,unknown,,,
233,Amarsinh Daggar aka. Marwad's Moti,Bhagwati Prasad Mishra,"madanrai,vakil",historical,,,
234,Anant Vrat,G. V. Sane,"bhaurao,krishna,datar,chauhan",mythology,,,
235,Baap Kamai aka. Fortunes And Fools,Kanjibhai Rathod,"gohar,ermeline,nandram,gangaram,gulab,putlibai",social,,,
236,Bajirao Mastani,"Bhalji Pendharkar, Nanubhai B. Desai","nanasaheb,jones,master,vithal,miss,sayani,phatak,yakub",historical,,,
237,Bhadra Bhamini aka. Test Of Chastity,Nanubhai B. Desai,"joshi,nandram,gulab,prabhudas,p,r",costume,,,
238,Black Thief aka. Kala Chor,Manilal Joshi,"raja,janibabu,zubeida,putlibai,sandow",costume,,,
239,Chalu Zamana aka. Chalti Duniya,Unknown,unknown,unknown,,,
240,Chandrakant aka. Filial Duty,Harshadrai Sakerlal Mehta,"haider,shah,ermeline,malika,nandram,gulab,gangaram",costume,,,
241,Chandrarao More,N. D. Sarpotdar,"n,d,baburao,potdar,dwarki,p,y,pendharkar,altekar,elizer",historical,,,
242,Charkha aka. The Spinning Wheel aka. Anath Abala,Kanjibhai Rathod,"madanrai,ermeline,vakil",social,,,
243,Chhatrapati Sambhaji,N. D. Sarpotdar,"d,jilloobai,billimoria,p,y,altekar,vedi,elizer",historical,,,
244,Child Widow aka. Bal Vidhva,Behram Vasania,"diwana,harihar,heera",social,,,
245,Cinema Queen aka. Cinema Ki Rani,Rajendra Raj Gaur,"shuklaji,sadique,master,nurjehan,mumtaz,shivrani,alaknanda,madhukar,mehtab,gupte,bachoo",social,,,
246,Devadasi aka. The Bride Of God,Manilal Joshi,"b,fatma,prabhakar,athavale,raja,zubeida,begum,k,dabir,shahzadi,sandow",costume,,,
247,Devi Ahilyabai,Bhagwati Mishra,unknown,"devotional,historical",,,
248,Dream Of Life aka. Sansar Swapna,Homi Master,"marie,bachubhai,moti,miss,khalil",social,,,
249,Five Divine Wands aka. Panchdanda,Chandulal Shah,"isdan,putli,yakbal,raja,ghory,sandow",fantasy,,,
250,For Mother's Sake aka. Matri Prem,M. D. Bhavnani,"sandow,raja,moti",social,,,
251,Ghar Jamai aka. Hen-pecked Husband,Homi Master,"putlibai,gohar,sidimiya",social,,,
252,Gaud Bangal aka. Magicians Of Bengal aka. Kamroo Deshni Kamini,K. P. Bhave,"vakil,fatma,jilloobai,begum,madanrai,elizer",unknown,,,
253,Gul-E-Anar aka. 1001 Nights,Unknown,unknown,fantasy,,,
254,Handsome Blackguard aka. Fankdo Fituri,Homi Master,"sethna,thelma,master,b,yvonne,homi,boman,athavale,yakbal,moti,miss,k,fram,wallace,behram",costume,,,
