index,title,director,cast,genres,Release Month,Release Date,Highest Grosser By Year(in crores)
1249,Jawani Ki Hawa,Franz Osten,"kasshyap,bhaskar,solanki,najmul,pithawal,talpade,j,chandraprabha,khosla,p,mukherjee,masiha,rani,s,devika,azurie,devi,hussain,dev,prasad,kamta,sunita,f","crime,romantic,thriller",,,
1250,Jeewan Natak aka. Life Is A Stage,Debaki Bose,"khote,kishore,nirmal,jilani,bannerjee,shivrani,phelwan,nand,ram,piari,alaknanda,gulam,sham,durga,trikamlal",drama,,,
1251,Josh-e-Jawani,Dwarka Khosla,"mohini,ishaq,mohammed,dewaskar,manohar,ghatwai,haridas",costume,,,
1252,Jung Bahadur,M. D. Bhavnani,"baby,puri,prasad,nayanpalli,l,shivrani,fatty,s,gyani,nargis",action,,,
1253,Kala Swar,"Acharya, W. Garcher","navinchandra,baby,tarabai,dave,noor,goswami,kamlabai,mohammed,haridas,nazir,yashwant,usha,devi,ghulam,s,jehan,ermiline",costume,,,
1254,Kalia Mardan,Dadasaheb Nimbalkar,"badre,ebrahim,bhosle,vasant,indubala,chitnis,leela,s,ram,madhukar",devotional,,,
1255,Kali Waghan aka. Wild Tigress,R. N. Vaidya,"kamla,shakuntala,nandram,kaneez,prabha,vijaya,shankar",costume,,,
1256,Kalkoot aka. Kismet Ki Bhool,D. K. Kale,"agarwal,lobo,kumari,nayampalli,joshi,heera,devaskar,baburao,sushila,leela,p,r,k,vatsala,pendharkar,omkar",social,,,
1257,Kamroo Desh Ki Kamini,A. R. Kabuli,"khan,swaroop,master,kaneez,chonker,ashraf,kamalabai,rani,sultana,kabuli",fantasy,,,
1258,Karwan-E-Hayat,"Premankur Atorthy, Hemchandra Chunder","kapoor,molina,pahari,shyama,hamid,l,rattan,rajkumari,siddiqi,rana,k,sanyal,bai,saigal,zutshi","costume,adventure,action",,,
1259,Karwane Husn,Choudhary M. Rafi,"qamar,hadi,miss,nazir,ansari,zohrajan,shahzadi",costume,,,
1260,Keemti Aansoo,Chandulal Shah,"gohar,ishwarlal,bhanumathi,apte,billimoria,charubala,e,ram,khatoon","family,melodrama",,,
1261,Khoon Ka Khoon aka. Hamlet,Sohrab Modi,"gauhar,banu,obali,tarapore,mai,b,pawar,fazal,sohrab,modi,mohiyudin,ghulam,karim,shamshadbai,e,hussain,naseem",drama,,,
1262,Qatil Katar,G. P. Pawar,"shyam,bulbule,munshi,pawar,bhagwan,jilani,alaknanda,lalita",action,,,
1263,Qatl-e-Aam,"Rele, Arolkar","g,gangoobai,azurie,r,suresh,manjrekar,sandow,pramila","costume,action",,,
1264,Khuni Khanjar,"K. B. Desai, R. N. Vaidya","malika,bibijan,champa,shiraz,devi,kashmira,vaidya,adam,sandow,bacha","costume,action",,,
1265,Krishna Shishtai,Mama Mane,"vasantrao,vinay,ved,pathak,niphadkar,jawadekar,devi,godbole,menaka,vijaya,pehalwan",devotional,,,
